GEOID,pop
36081055300,2436
36081055400,2344
36081055500,2348
36081055600,2453
36081055700,3781
36081055800,1763
36081055900,1401
36081056000,1651
36081056100,120
36081056200,1655
36081056400,1582
36081056500,1380
36081056600,1703
36081056700,4231
36081056800,4439
36081057700,3797
36081057900,1610
36081058000,3565
36081058100,2875
36081058200,5054
36081058300,3327
36081058500,4476
36081058700,3421
36081058900,4165
36081059000,1428
36081059100,5210
36081059200,1128
36081059300,4192
36081059400,1553
36081059500,4435
36081059600,1465
36081059800,1727
36081059900,1376
36081060000,1086
36081060100,1955
36081060300,2006
36081060600,1393
36081060701,16
36081060800,1662
36081061000,1556
36081061200,1528
36081061301,6281
36081061302,15
36081061400,1321
36081061601,2384
36081061602,1275
36081061800,1876
36081061900,2738
36081062000,1518
36081062100,2589
36081062200,1653
36081062300,2049
36081062400,0
36081062500,2586
36081062600,3096
36081062700,2917
36081062900,3086
36081063000,1865
36081063200,2459
36081063301,1450
36081063302,1490
36081063500,2636
36081063700,3199
36081063800,4113
36081063900,2551
36081064101,2038
36081064102,154
36081064500,1948
36081064600,3121
36081065000,3070
36081065400,3128
36081065501,0
36081065600,5230
36081065702,1761
36081065703,2783
36081065900,1765
36081066000,3674
36081066100,1469
36081066300,2463
36081066400,10018
36081066501,3400
36081066701,2280
36081066900,1602
36081067100,2129
36081067700,1826
36081067900,3772
36081068000,5064
36081068200,1278
36081068300,4499
36081068700,4703
36081069000,3460
36081069300,2864
36081069400,3687
36081069500,1773
36081069701,3990
36081069702,3548
36081070300,2007
36081070700,2262
36081070900,2555
36081071100,5948
36081071303,5318
36081071304,6191
36081071305,4841
36081071306,6256
36081071600,0
36081071701,5571
36081071702,3865
36081071900,2587
36081072100,4751
36081072300,1965
36081072900,1147
36081073100,1501
36081073700,1748
36081073900,5442
36081074100,3021
36081074300,4654
36081074500,3836
36081074700,3433
36081074900,1488
36081075701,5053
36081075702,4565
36081076901,4172
36081076902,1486
36081077300,2189
36081077500,2014
36081077902,5382
36081077903,3130
36081077904,6812
36081077905,2673
36081077906,3241
36081077907,3186
36081077908,4364
36081078800,1575
36081079000,2508
36081079200,2599
36081079300,0
36081079701,7057
36081079702,4914
36081079900,3405
36081080301,4855
36081080302,3538
36081080900,7181
36081081400,3978
36081081800,4381
36081083700,5523
36081083800,6247
36081084000,6455
36081084500,4484
36081084601,2671
36081084602,1256
36081084900,7392
36081085300,4526
36081085500,6375
36081085700,5753
36081085900,5267
36081086100,2178
36081086300,6845
36081086400,2887
36081086500,4381
36081086900,2350
36081087100,2316
36081088400,7279
36081088901,10346
36081089200,8047
36081090700,1212
36081091601,4006
36081091602,0
36081091800,8
36081091900,6317
36081092200,2088
36081092500,3821
36081092800,3283
36081092900,6716
36081093401,3809
36081093402,3841
36081093800,5396
36081093900,4978
36081094201,3347
36081094202,4686
36081094203,5586
36081094500,4127
36081094700,2699
36081095400,5221
36081096400,4153
36081097202,2634
36081097203,6557
36081097204,4052
36081097300,1992
36081098100,2436
36081098700,2596
36081099100,6234
36081099200,4291
36081099701,2559
36081099703,3858
36081099704,7240
36081099705,2720
36081099801,7455
36081099802,5391
36081099900,0
36081100801,2277
36081100802,9029
36081101001,11028
36081101002,4311
36081101700,6078
36081102900,3714
36081103201,7161
36081103202,7195
36081103300,4044
36081103900,6734
36081104700,6664
36081105900,3881
36081107201,2112
36081107202,0
36081108500,2496
36081109300,3216
36081109700,1633
36081109900,3903
36081111300,2476
36081112300,2344
36081112900,2252
36081113300,1729
36081113900,3399
36081114100,2337
36081114700,1802
36081115100,1189
36081115500,2350
36081115700,3515
36081115900,4340
36081116100,4657
36081116300,9062
36081116700,1990
36081117100,2813
36081117500,5027
36081118100,1577
36081118500,2186
36081118700,2404
36081118900,2556
36081119100,3420
36081119300,2079
36081119500,1412
36081119900,1520
36081120100,1617
36081120300,1734
36081120500,2747
36081120700,2781
36081121100,0
36081121500,4434
36081122300,3556
36081122701,11789
36081122702,7007
36081124100,3148
36081124700,3442
36081125700,3298
36081126500,1517
36081126700,4616
36081127700,3528
36081128300,29
36081129102,3578
36081129103,3877
36081129104,4241
36081130100,3984
36081133300,3626
36081133900,1315
36081134100,3555
36081134700,10137
36081136700,6054
36081137700,6270
36081138501,4586
36081138502,39
36081139900,1710
36081140300,2276
36081140901,958
36081140902,3130
36081141700,4821
36081142900,3354
36081143500,2153
36081144100,3254
36081144700,3176
36081145101,1658
36081145102,2616
36081145900,2913
36081146300,3209
36081146700,3313
36081147100,3059
36081147900,4845
36081148300,2920
36081150701,2913
36081150702,3156
36081152901,6796
36081152902,5132
36081155101,1947
36081155102,7641
36081156700,1363
36081157101,7859
36081157102,2065
36081157901,4994
36081157902,3809
36081157903,3852
36081161700,4911
36081162100,7167
36081990100,0
36085000300,1738
36085000600,2297
36085000700,5997
36085000800,5678
36085000900,1860
36085001100,3032
36085001700,1518
36085001800,615
36085002001,2530
36085002002,3470
36085002100,3627
36085002700,2218
36085002900,5781
36085003300,3756
36085003600,2608
36085003900,2495
36085004000,12668
36085004700,3205
36085005000,3690
36085005900,2900
36085006400,3217
36085006700,2609
36085007000,8963
36085007400,4846
36085007500,4606
36085007700,1338
36085008100,4074
36085009601,3744
36085009602,3462
36085009700,4316
36085010500,4857
36085011201,5855
36085011202,5839
36085011401,2884
36085011402,3722
36085012100,3448
36085012200,3714
36085012500,2668
36085012804,4042
36085012805,2940
36085012806,6033
36085013201,1546
36085013203,5766
36085013204,4837
36085013301,1531
36085013302,3576
36085013400,3651
36085013800,6098
36085014100,2344
36085014604,7468
36085014605,3672
36085014606,7325
36085014607,4909
36085014608,3795
36085014700,3432
36085015100,4818
36085015400,0
36085015601,6559
36085015602,3446
36085015603,4596
36085016901,3283
36085017005,4656
36085017007,5351
36085017008,7457
36085017009,4405
36085017010,9085
36085017011,4616
36085017012,4802
36085017300,2529
36085017600,4980
36085017700,6918
36085018100,3031
36085018701,1742
36085018702,7200
36085018901,5199
36085018902,5180
36085019700,1803
36085019800,6690
36085020100,3534
36085020700,6178
36085020801,9138
36085020803,6191
36085020804,5602
36085021300,4878
36085022300,2627
36085022600,9032
36085022800,39
36085023100,4267
36085023900,3310
36085024401,6408
36085024402,4241
36085024700,2691
36085024800,4908
36085025100,5879
36085027301,3810
36085027302,3355
36085027702,6542
36085027704,4357
36085027705,5644
36085027706,3525
36085027900,1972
36085029102,2814
36085029103,7644
36085029104,7273
36085030301,4895
36085030302,6279
36085031901,2550
36085031902,4611
36085032300,1131
36085990100,0
